ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
hyalourinic acid,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyalouronic acid,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronan,hyaluronic acid,0.98,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronan sodium salt,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronate sod,sodium hyaluronate,0.95,sodium hyaluronate,BARUBT Luxuriose straffende lo-tion | YOUBUY Acne Care and Moisturizing Gel-Night Use | YOUBUY Snail Mucin 92% Moisturizer,ACNE CARE AND MOISTURIZING GEL-NIGHT USE | LUXURIOSE STRAFFENDE LOTION | SNAIL MUCIN 92% MOISTURIZER,"Guangdong Youbaijia Cosmetic Industry Co., Ltd",,1,0,0,1,For external use only,,,"LONG-LASTING MOISTURIZING, EFFECTIVE SOOTHING,ENVIRONMENTALLY FRIENDLY"
hyaluronic,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronic acid,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronic acid hydrolyzed,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronic acid sodic salt,sodium hyaluronate,0.95,sodium hyaluronate,BARUBT Luxuriose straffende lo-tion | YOUBUY Acne Care and Moisturizing Gel-Night Use | YOUBUY Snail Mucin 92% Moisturizer,ACNE CARE AND MOISTURIZING GEL-NIGHT USE | LUXURIOSE STRAFFENDE LOTION | SNAIL MUCIN 92% MOISTURIZER,"Guangdong Youbaijia Cosmetic Industry Co., Ltd",,1,0,0,1,For external use only,,,"LONG-LASTING MOISTURIZING, EFFECTIVE SOOTHING,ENVIRONMENTALLY FRIENDLY"
hyaluronic acid sodium salt,sodium hyaluronate,0.95,sodium hyaluronate,BARUBT Luxuriose straffende lo-tion | YOUBUY Acne Care and Moisturizing Gel-Night Use | YOUBUY Snail Mucin 92% Moisturizer,ACNE CARE AND MOISTURIZING GEL-NIGHT USE | LUXURIOSE STRAFFENDE LOTION | SNAIL MUCIN 92% MOISTURIZER,"Guangdong Youbaijia Cosmetic Industry Co., Ltd",,1,0,0,1,For external use only,,,"LONG-LASTING MOISTURIZING, EFFECTIVE SOOTHING,ENVIRONMENTALLY FRIENDLY"
hyaluronic acide,hyaluronic acid,0.95,hyaluronic acid,AOAO Retinol Anti-aging Box Set | ClearSoothingCream | Roushun kojic Skin Lightening Nutural Skin Care treament serum 30ml,"COLLAGEN,BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT,HYALURONIC ACID,CAFFEINE,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,RETINOL. | HYALURONIC ACID | ROUSHUN KOJIC SKIN LIGHTENING NUTURAL SKIN CARE TREAMENT SERUM 30ML","Guangdong Junhui Biotechnology Co., LTD | Roushun Kojic Skin lightening natural skin care treatment serum | Shengnan (Guangzhou) Cosmetics Co., LTD",,2,0,0,3,Warnings For external use only,,,Take out a bottle of essence from the box 2
hyaluronidase,hyaluronidase,0.99,hyaluronidase,Allergen I | Enviro I | VITRASE,"HYALURONIDASE, OVINE | POTASSIUM GLUCONATE, GLANDULA SUPRARENALIS BOVINE, HEPAR BOVINE, ARSENICUM ALBUM, LYCOPODIUM CLAVATUM, NUX VOMICA, PHOSPHORUS, PEANUT, BLACK WALNUT, ENGLISH WALNUT, AMYGDALA AMARA, CASHEW, COCONUT, PECAN, BRAZIL NUT, TOMATO, SOLANUM TUBEROSUM, PIPER NIGRUM, EGGPLANT (SOLANUM MELONGENA), RAPE SEED OIL, LINUM USITATISSIMUM, SESAME SEED, CHEESE (STILTON), LAC VACCINUM, BEEF, LAMB, PORK, CHICKEN, EGG (WHOLE), PHASEOLUS, ALLIUM CEPA, APPLE, WHEAT, BANANA, STRAWBERRY, COD (GADUS MORHUA), TUNA (THUNNUS THYNNUS), | POTASSIUM GLUCONATE, GLANDULA SUPRARENALIS SUIS, HEPAR SUIS, COFFEA TOSTA, THEA SINENSIS, CARBO VEGETABILIS, FERRUM IODATUM, FERRUM METALLICUM, GELSEMIUM SEMPERVIRENS, IODIUM, IRIDIUM METALLICUM, LYCOPODIUM CLAVATUM, PULSATILLA (PRATENSIS), SELENIUM METALLICUM, ZINCUM METALLICUM, PEANUT, BLACK WALNUT, ENGLISH WALNUT, AMYGDALA AMARA, CASHEW, COCONUT, PECAN, BRAZIL NUT, TOMATO, SOLANUM TUBEROSUM, PIPER NIGRUM, EGGPLANT, RAPE SEED OIL, LINUM USITATISSIMUM, SESAME, SEED, CHEESE (STILTON), LAC VACCINUM, BEEF,","Bausch & Lomb Incorporated | BioActive Nutritional | Deseret Biologicals, Inc.",,5,10,9,5,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use",7 DRUG INTERACTIONS It is recommended that appropriate references be consulted regarding physical or chemical incompatibilities before adding VITRASE to a solution containing another drug,6 ADVERSE REACTIONS The following adverse reactions have been identified during post-approval use of hyaluronidase products,For the temporary relief of symptoms including:
hydralazine,hydralazine,0.99,hydralazine,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,"Chartwell RX, LLC | Proficient Rx LP | REMEDYREPACK INC.",,5,0,12,1,WARNINGS ​ In a few patients hydrALAZINE may produce a clinical picture simulating systemic lupus erythematosus including glomerulonephritis,,ADVERSE REACTIONS Adverse reactions with hydrALAZINE are usually reversible when dosage is reduced,"INDICATIONS AND USAGE Essential hypertension, alone or as an adjunct"
hydrochlorothazide,hydrochlorothiazide,0.99,hydrochlorothiazide,Lisinopril and Hydrochlorothiazide | olmesartan medoxomil-hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE | LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS | OLMESARTAN MEDOXOMIL-HYDROCHLOROTHIAZIDE,"AvKARE | PD-Rx Pharmaceuticals, Inc. | ST. MARY'S MEDICAL PARK PHARMACY",,10,10,9,5,"WARNINGS General Lisinopril Anaphylactoid and Possibly Related Reactions: Presumably because angiotensin-converting enzyme inhibitors affect the metabolism of eicosanoids and polypeptides, including endogenous bradykinin, patients receiving ACE inhibitors (including lisinopril and hydrochlorothiazid",Drug Interactions Lisinopril Hypotension,ADVERSE REACTIONS Lisinopril and hydrochlorothiazide tablets have been evaluated for safety in 930 patients including 100 patients treated for 50 weeks or more,"INDICATIONS AND USAGE Lisinopril and hydrochlorothiazide tablets are indicated for the treatment of hypertension, to lower blood pressure"
hydrochlorothiazide,hydrochlorothiazide,0.95,hydrochlorothiazide,Lisinopril and Hydrochlorothiazide | olmesartan medoxomil-hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE | LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS | OLMESARTAN MEDOXOMIL-HYDROCHLOROTHIAZIDE,"AvKARE | PD-Rx Pharmaceuticals, Inc. | ST. MARY'S MEDICAL PARK PHARMACY",,10,10,9,5,"WARNINGS General Lisinopril Anaphylactoid and Possibly Related Reactions: Presumably because angiotensin-converting enzyme inhibitors affect the metabolism of eicosanoids and polypeptides, including endogenous bradykinin, patients receiving ACE inhibitors (including lisinopril and hydrochlorothiazid",Drug Interactions Lisinopril Hypotension,ADVERSE REACTIONS Lisinopril and hydrochlorothiazide tablets have been evaluated for safety in 930 patients including 100 patients treated for 50 weeks or more,"INDICATIONS AND USAGE Lisinopril and hydrochlorothiazide tablets are indicated for the treatment of hypertension, to lower blood pressure"
hydrocortisone,hydrocortisone,0.95,hydrocortisone,"Cortifoam | PS-2896 Hydrocortisone Cream 1%, 0.9g | anti itch","HYDROCORTISONE | HYDROCORTISONE ACETATE | PS-2896 HYDROCORTISONE CREAM 1%, 0.9G","Meijer, Inc. | ProStat First Aid LLC | Viatris Specialty LLC",,10,10,9,5,Warnings For external use only Do not use,Drug Interactions Aminoglutethimide: Aminoglutethimide may lead to a loss of corticosteroid-induced adrenal suppression,"ADVERSE REACTIONS (listed alphabetically, under each subsection) To report SUSPECTED ADVERSE REACTIONS, contact Meda Pharmaceuticals Inc","temporarily relieves itching associated with minor skin irritations, inflammation, and rashes due to:"
hydrocortisone acetate,hydrocortisone,0.99,hydrocortisone,"Cortifoam | PS-2896 Hydrocortisone Cream 1%, 0.9g | anti itch","HYDROCORTISONE | HYDROCORTISONE ACETATE | PS-2896 HYDROCORTISONE CREAM 1%, 0.9G","Meijer, Inc. | ProStat First Aid LLC | Viatris Specialty LLC",,10,10,9,5,Warnings For external use only Do not use,Drug Interactions Aminoglutethimide: Aminoglutethimide may lead to a loss of corticosteroid-induced adrenal suppression,"ADVERSE REACTIONS (listed alphabetically, under each subsection) To report SUSPECTED ADVERSE REACTIONS, contact Meda Pharmaceuticals Inc","temporarily relieves itching associated with minor skin irritations, inflammation, and rashes due to:"
